,clouds,visibility,wind_speed,wind_deg,weather_main,weather_desc,month,hour_stan,week,day_of_year,quarter,sunrise_sunset,sun_on,pressure_norm,temp_stan,feelslike_stan,humidity_stan,dewpoint_stan,templag_1,pressurelag_1,humiditylag_1,dewpointlag_1,feelslikelag_1,templag_2,pressurelag_2,humiditylag_2,dewpointlag_2,feelslikelag_2,templag_3,pressurelag_3,humiditylag_3,dewpointlag_3,feelslikelag_3,templag_4,pressurelag_4,humiditylag_4,dewpointlag_4,feelslikelag_4,templag_5,pressurelag_5,humiditylag_5,dewpointlag_5,feelslikelag_5,templag_6,pressurelag_6,humiditylag_6,dewpointlag_6,feelslikelag_6,tempMA_1,pressureMA_1,humidityMA_1,dewpointMA_1,feelslikeMA_1,tempMA_3,pressureMA_3,humidityMA_3,dewpointMA_3,feelslikeMA_3,tempMA_5,pressureMA_5,humidityMA_5,dewpointMA_5,feelslikeMA_5,tempMA_7,pressureMA_7,humidityMA_7,dewpointMA_7,feelslikeMA_7,tempMA_9,pressureMA_9,humidityMA_9,dewpointMA_9,feelslikeMA_9,temp_trend,temp_seasonal,temp_residual,pressure_trend,pressure_seasonal,pressure_residual,humidity_trend,humidity_seasonal,humidity_residual,dewpoint_trend,dewpoint_seasonal,dewpoint_residual,feelslike_trend,feelslike_seasonal,feelslike_residual,temp_w_seas,pressure_w_seas,humidity_w_seas,dewpoint_w_seas,feelslike_w_seas
0,20,1.0,1.03,0.0,Clouds,few clouds,1,0.5217391304347826,0.019230769230769232,0.0027397260273972603,0.25,0.3333333333333333,1,0.45236375077096364,0.494283201407212,0.4372623574144488,0.3,0.39294117647058835,0.36235708003518036,0.45236375077096364,0.7333333333333333,0.6676470588235294,0.5069708491761723,0.33685136323658765,0.45236375077096364,0.5666666666666667,0.5276470588235295,0.3751584283903676,0.18821459982409855,0.45236375077096364,0.7166666666666667,0.5423529411764706,0.08935361216730038,0.10729991204925263,-0.10511235373903521,0.9,0.6105882352941177,0.09505703422053231,0.1037818821459982,-0.10511235373903521,0.9,0.6082352941176472,0.09252217997465151,0.15215479331574322,-0.6625884582490341,0.8,0.5752941176470587,0.12103929024081116,0.4283201407211962,0.45236375077096364,0.5166666666666666,0.5302941176470588,0.4721166032953106,0.34542656112576964,0.45236375077096364,0.5791666666666666,0.5326470588235295,0.35218631178707227,0.2654646731163883,0.266538382600964,0.6861111111111112,0.558235294117647,0.26605407689057886,0.22977132805628858,0.10394118545221434,0.7145833333333333,0.5577205882352941,0.22393852978453743,0.20589270008795083,0.11787808806496432,0.7516666666666667,0.5686470588235294,0.19873257287705962,0.3027887716212256,0.03799093962130745,0.15350349016467896,-0.16318278129216013,0.3538736966036642,0.2616728354594595,0.7357638888888888,-0.07822329134960992,-0.35754059753927886,0.6217156862745097,-0.04034829053199771,-0.18842621927192363,0.36409484579636664,0.030023127247616008,0.04314438437046615,0.5130614846676999,0.6124433834657832,0.27653301259511703,0.3770866717203681,0.4503903408116953
1,20,1.0,1.54,0.6944444444444444,Clouds,few clouds,1,0.5652173913043478,0.019230769230769232,0.0027397260273972603,0.25,0.3333333333333333,1,-0.10511235373903521,0.6824978012313105,0.6482889733840306,0.25,0.4594117647058824,0.494283201407212,0.45236375077096364,0.3,0.39294117647058835,0.4372623574144488,0.36235708003518036,0.45236375077096364,0.7333333333333333,0.6676470588235294,0.5069708491761723,0.33685136323658765,0.45236375077096364,0.5666666666666667,0.5276470588235295,0.3751584283903676,0.18821459982409855,0.45236375077096364,0.7166666666666667,0.5423529411764706,0.08935361216730038,0.10729991204925263,-0.10511235373903521,0.9,0.6105882352941177,0.09505703422053231,0.1037818821459982,-0.10511235373903521,0.9,0.6082352941176472,0.09252217997465151,0.5883905013192613,0.17362569851596416,0.275,0.4261764705882354,0.5427756653992397,0.46899736147757265,0.31299472464346395,0.46249999999999997,0.5119117647058824,0.4919201520912548,0.36191732629727363,0.266538382600964,0.5777777777777777,0.5334313725490197,0.358681875792142,0.3034300791556729,0.10394118545221435,0.6458333333333334,0.548014705882353,0.2957065906210393,0.2623570800351804,0.06213047761396444,0.6866666666666668,0.5528823529411765,0.2531685678073511,0.30546394019349177,0.04447777113068329,0.3325560899071355,-0.18641095231341007,0.23479256668459794,-0.1534939681102231,0.7340277777777777,-0.057996498100664796,-0.4260312796771129,0.6223897058823529,-0.020690807285534584,-0.1422871338909359,0.36318388255175327,0.04343706520251272,0.24166802562976458,0.7128537822316713,-0.12979195306368269,0.2355008754748338,0.44990616441764564,0.6764487437909827
11,20,1.0,1.03,0.0,Clouds,few clouds,1,1.0,0.019230769230769232,0.0027397260273972603,0.25,0.6666666666666666,0,0.45236375077096364,0.2603342128408092,0.3130544993662865,0.7166666666666667,0.5894117647058824,0.25505716798592803,-0.10511235373903521,0.8333333333333334,0.6652941176470588,0.3409378960709761,0.2981530343007916,-0.10511235373903521,0.8,0.6717647058823529,0.41444866920152085,0.3306948109058928,-0.6625884582490341,0.7833333333333333,0.681764705882353,0.47211660329531047,0.38874230430958673,-1.220064562759033,0.7666666666666667,0.7082352941176471,0.5823827629911278,0.44766930518909404,-1.7775406672690317,0.7,0.6994117647058825,0.655893536121673,0.45294635004397554,-1.7775406672690317,0.7,0.7029411764705883,0.6673003802281369,0.2576956904133686,0.1736256985159641,0.775,0.6273529411764707,0.3269961977186312,0.28605980650835544,-0.10511235373903523,0.7833333333333333,0.6520588235294118,0.38513941698352344,0.33010847258868375,-0.5696757741640343,0.7666666666666666,0.6693137254901961,0.46313899450781576,0.3605980650835533,-0.8019574843765338,0.7479166666666667,0.6761029411764706,0.5119613434727502,0.40255057167985936,-0.718336068700034,0.7216666666666667,0.6842352941176472,0.5712294043092522,0.33201407211961315,-0.005086930712666549,-0.06659292856613738,-0.23286729435590997,0.22752858006370413,0.4577024650631695,0.7020833333333333,0.007514958767595892,0.007068374565737501,0.6176715686274511,0.0057229314897548475,-0.03398273541132353,0.36829319814110695,0.005227117298251389,-0.060465816073071846,0.25900991073795143,0.5552894326561724,0.7220523871167771,0.5927849278545497,0.31469087195521944
14,20,1.0,1.03,0.0,Clouds,few clouds,1,0.08695652173913043,0.019230769230769232,0.005479452054794521,0.25,0.0,0,-0.10511235373903521,0.2339489885664028,0.12230671736375155,0.8166666666666667,0.6405882352941178,0.21723834652594567,0.45236375077096364,0.8666666666666667,0.6623529411764706,0.11026615969581761,0.23570800351802987,0.45236375077096364,0.85,0.6635294117647058,0.12357414448669196,0.2603342128408092,0.45236375077096364,0.7166666666666667,0.5894117647058824,0.3130544993662865,0.25505716798592803,-0.10511235373903521,0.8333333333333334,0.6652941176470588,0.3409378960709761,0.2981530343007916,-0.10511235373903521,0.8,0.6717647058823529,0.41444866920152085,0.3306948109058928,-0.6625884582490341,0.7833333333333333,0.681764705882353,0.47211660329531047,0.22559366754617424,0.1736256985159641,0.8416666666666667,0.6514705882352942,0.11628643852978453,0.2368073878627969,0.31299472464346395,0.8125,0.6389705882352942,0.16730038022813684,0.2500732922896512,0.1736256985159642,0.813888888888889,0.6488235294117647,0.23743134769750743,0.27748460861917335,-0.10511235373903523,0.8041666666666667,0.6603676470588236,0.30988593155893535,0.3120492524186456,-0.43959801644503455,0.7833333333333333,0.6685294117647059,0.38022813688212925,0.35326883611844034,-0.020149905703082154,-0.09916994184895538,-0.23286729435591,0.027706749868079483,0.1000481907487953,0.6815972222222221,0.027426817741954893,0.10764262670248968,0.6124264705882352,0.008848717060393342,0.019313047645489266,0.38230090832277147,-0.033081070605944125,-0.22691312035307581,0.22923493850745835,-0.10802467543212775,0.8390652344892632,0.6462566193404521,0.11826068021106004
15,20,1.0,0.51,0.0,Rain,light rain,1,0.13043478260869565,0.019230769230769232,0.005479452054794521,0.25,0.0,0,-0.10511235373903521,0.22779243623570797,0.11787072243346003,0.8166666666666667,0.6364705882352942,0.2339489885664028,-0.10511235373903521,0.8166666666666667,0.6405882352941178,0.12230671736375155,0.21723834652594567,0.45236375077096364,0.8666666666666667,0.6623529411764706,0.11026615969581761,0.23570800351802987,0.45236375077096364,0.85,0.6635294117647058,0.12357414448669196,0.2603342128408092,0.45236375077096364,0.7166666666666667,0.5894117647058824,0.3130544993662865,0.25505716798592803,-0.10511235373903521,0.8333333333333334,0.6652941176470588,0.3409378960709761,0.2981530343007916,-0.10511235373903521,0.8,0.6717647058823529,0.41444866920152085,0.2308707124010554,-0.10511235373903521,0.8166666666666667,0.638529411764706,0.12008871989860573,0.2286719437115216,0.1736256985159642,0.8375,0.6507352941176471,0.11850443599493024,0.2383465259454706,0.17362569851596418,0.8166666666666668,0.6429411764705882,0.18800168990283062,0.25736587510993847,0.03425667238846449,0.8104166666666667,0.6513970588235295,0.25182192648922685,0.28953386103781886,-0.2723551850920348,0.7949999999999999,0.6618823529411765,0.32528517110266153,0.36503224860744654,-0.024662079740322137,-0.11257773263141643,-0.2560954653771599,-0.10823761001910777,0.2592207216572324,0.6631944444444443,0.04184989466503181,0.11162232755719054,0.6026225490196078,0.017500677844707074,0.01634736137097939,0.3827761934938741,-0.032544005133042134,-0.23236146592737195,0.2221746010090207,-0.093735243786839,0.8508440806431093,0.6476092549576313,0.11403473703755013
16,20,1.0,0.0,0.0,Rain,light rain,1,0.17391304347826086,0.019230769230769232,0.005479452054794521,0.25,0.0,0,-0.6625884582490341,0.21723834652594567,0.11026615969581761,0.8166666666666667,0.6294117647058824,0.22779243623570797,-0.10511235373903521,0.8166666666666667,0.6364705882352942,0.11787072243346003,0.2339489885664028,-0.10511235373903521,0.8166666666666667,0.6405882352941178,0.12230671736375155,0.21723834652594567,0.45236375077096364,0.8666666666666667,0.6623529411764706,0.11026615969581761,0.23570800351802987,0.45236375077096364,0.85,0.6635294117647058,0.12357414448669196,0.2603342128408092,0.45236375077096364,0.7166666666666667,0.5894117647058824,0.3130544993662865,0.25505716798592803,-0.10511235373903521,0.8333333333333334,0.6652941176470588,0.3409378960709761,0.22251539138082682,-0.38385040599403475,0.8166666666666667,0.6329411764705883,0.11406844106463876,0.22405452946350055,-0.10511235373903521,0.8291666666666666,0.6422058823529413,0.11517743979721165,0.2320433890354735,0.08071301443096439,0.8138888888888888,0.6369607843137256,0.14955640050697086,0.2431838170624451,0.034256672388464485,0.8145833333333333,0.6448529411764706,0.20659062103929027,0.26649076517150405,-0.16085996419003512,0.8066666666666666,0.6548823529411766,0.2707224334600761,0.3811748754031076,-0.0461432981212767,-0.11779323075588524,-0.27932363639840985,-0.22318727686785753,-0.16007754498276675,0.6423611111111109,0.05180359836873551,0.1225019571868202,0.593345588235294,0.009953229378140952,0.026112947092447457,0.38824197296155466,-0.05739864369965788,-0.22057716956607917,0.20721425273882574,-0.5147071445683601,0.8589729386678007,0.6356764443733006,0.1039370316833078
17,20,1.0,0.0,0.0,Clouds,few clouds,1,0.21739130434782608,0.019230769230769232,0.005479452054794521,0.25,0.0,0,-0.6625884582490341,0.2119613016710642,0.10646387832699618,0.8166666666666667,0.6258823529411766,0.21723834652594567,-0.6625884582490341,0.8166666666666667,0.6294117647058824,0.11026615969581761,0.22779243623570797,-0.10511235373903521,0.8166666666666667,0.6364705882352942,0.11787072243346003,0.2339489885664028,-0.10511235373903521,0.8166666666666667,0.6405882352941178,0.12230671736375155,0.21723834652594567,0.45236375077096364,0.8666666666666667,0.6623529411764706,0.11026615969581761,0.23570800351802987,0.45236375077096364,0.85,0.6635294117647058,0.12357414448669196,0.2603342128408092,0.45236375077096364,0.7166666666666667,0.5894117647058824,0.3130544993662865,0.21459982409850492,-0.6625884582490341,0.8166666666666667,0.6276470588235294,0.10836501901140684,0.22273526824978018,-0.38385040599403464,0.8166666666666667,0.6330882352941178,0.11422686945500629,0.22398123717384935,-0.10511235373903523,0.8305555555555554,0.6430392156862745,0.11512463033375582,0.23240985048372917,-0.035427840675285364,0.8166666666666667,0.6391176470588236,0.1680925221799747,0.24881266490765178,-0.10511235373903523,0.8116666666666668,0.6466470588235296,0.22313054499366286,0.39805042509528,-0.05445351619402774,-0.13163560723018805,-0.29093772190903483,-0.24567095522817,-0.12597978111182928,0.6229166666666665,0.039584047086684226,0.15416595291331597,0.5867156862745098,-0.005302709535886199,0.04446937620255299,0.3978400929446556,-0.07841968759380064,-0.2129565270238588,0.2004192634980117,-0.4998097187878335,0.8489936384541253,0.6225634806198925,0.09811501424856874
18,20,1.0,1.03,0.0,Rain,light rain,1,0.2608695652173913,0.019230769230769232,0.005479452054794521,0.25,0.0,0,-0.6625884582490341,0.16622691292875993,0.12357414448669196,0.7166666666666667,0.5276470588235295,0.2119613016710642,-0.6625884582490341,0.8166666666666667,0.6258823529411766,0.10646387832699618,0.21723834652594567,-0.6625884582490341,0.8166666666666667,0.6294117647058824,0.11026615969581761,0.22779243623570797,-0.10511235373903521,0.8166666666666667,0.6364705882352942,0.11787072243346003,0.2339489885664028,-0.10511235373903521,0.8166666666666667,0.6405882352941178,0.12230671736375155,0.21723834652594567,0.45236375077096364,0.8666666666666667,0.6623529411764706,0.11026615969581761,0.23570800351802987,0.45236375077096364,0.85,0.6635294117647058,0.12357414448669196,0.18909410729991205,-0.6625884582490341,0.7666666666666666,0.5767647058823531,0.11501901140684401,0.20580474934036944,-0.5232194321215344,0.7916666666666667,0.6048529411764707,0.1145437262357414,0.21240105540897103,-0.2909377219090349,0.8083333333333332,0.6203921568627452,0.11512463033375582,0.2213060686015832,-0.10511235373903523,0.8020833333333334,0.6219117647058825,0.14092205323193918,0.23236587510993853,-0.10511235373903523,0.805,0.6312352941176471,0.18827629911280103,0.4068638229258282,-0.0584970424176331,-0.18213986757943515,-0.2909377219090348,-0.17553974656785765,-0.1961109897721417,0.5999999999999998,0.040723648226285374,0.07594301844038154,0.5710294117647059,-0.004751867404161715,-0.03863048553701471,0.395569286016054,-0.08069675718313257,-0.19129838434622948,0.15650313015221406,-0.5462778482092111,0.7458519478955046,0.5251397499638042,0.11360211175493605
19,20,1.0,1.03,0.0,Rain,light rain,1,0.30434782608695654,0.019230769230769232,0.005479452054794521,0.25,0.0,0,-0.10511235373903521,0.11609498680738788,0.0937896070975919,0.8166666666666667,0.5629411764705884,0.16622691292875993,-0.6625884582490341,0.7166666666666667,0.5276470588235295,0.12357414448669196,0.2119613016710642,-0.6625884582490341,0.8166666666666667,0.6258823529411766,0.10646387832699618,0.21723834652594567,-0.6625884582490341,0.8166666666666667,0.6294117647058824,0.11026615969581761,0.22779243623570797,-0.10511235373903521,0.8166666666666667,0.6364705882352942,0.11787072243346003,0.2339489885664028,-0.10511235373903521,0.8166666666666667,0.6405882352941178,0.12230671736375155,0.21723834652594567,0.45236375077096364,0.8666666666666667,0.6623529411764706,0.11026615969581761,0.1411609498680739,-0.38385040599403486,0.7666666666666666,0.5452941176470589,0.10868187579214188,0.17788038698328942,-0.5232194321215343,0.7916666666666666,0.5864705882352942,0.10852344740177436,0.1955438287892114,-0.38385040599403464,0.7999999999999999,0.6038235294117649,0.11237853823405154,0.2032761653474055,-0.17479686680278508,0.8145833333333333,0.6186029411764706,0.11351394169835236,0.21416007036059814,-0.10511235373903523,0.8066666666666666,0.6203529411764707,0.15621039290240815,0.4099237760187628,-0.059171002606764805,-0.2346577866046101,-0.30255180741965976,-0.07682001972754535,0.2742594734081699,0.570833333333333,0.03299572799836514,0.21283760533496854,0.5454289215686275,-0.01269053004870671,0.030202784950667555,0.38215568229826774,-0.08414968363986132,-0.2042163915608145,0.1092255300403756,-0.0970376206511938,0.8436131778653316,0.5557971545549341,0.08589724133162266
20,20,1.0,0.51,0.0,Rain,light rain,1,0.34782608695652173,0.019230769230769232,0.005479452054794521,0.25,0.3333333333333333,1,0.45236375077096364,0.13192612137203166,0.10646387832699618,0.8166666666666667,0.573529411764706,0.11609498680738788,-0.10511235373903521,0.8166666666666667,0.5629411764705884,0.0937896070975919,0.16622691292875993,-0.6625884582490341,0.7166666666666667,0.5276470588235295,0.12357414448669196,0.2119613016710642,-0.6625884582490341,0.8166666666666667,0.6258823529411766,0.10646387832699618,0.21723834652594567,-0.6625884582490341,0.8166666666666667,0.6294117647058824,0.11026615969581761,0.22779243623570797,-0.10511235373903521,0.8166666666666667,0.6364705882352942,0.11787072243346003,0.2339489885664028,-0.10511235373903521,0.8166666666666667,0.6405882352941178,0.12230671736375155,0.12401055408970978,0.17362569851596404,0.8166666666666667,0.5682352941176472,0.10012674271229399,0.1565523306948109,-0.24448137986653495,0.7916666666666667,0.5725000000000001,0.107572877059569,0.17854001759014956,-0.2909377219090349,0.7999999999999999,0.5926470588235295,0.10973806506125898,0.19030343007915573,-0.17479686680278508,0.8104166666666667,0.6073529411764708,0.11137515842839037,0.20184696569920849,-0.04936474328803535,0.805,0.6111764705882353,0.13276299112801015,0.41498094400469066,-0.05145088143017926,-0.23160394120247976,-0.3257799784409098,0.0936687996271418,0.6844749295847316,0.5489583333333332,0.03368572087585801,0.2340226124574754,0.5297181372549021,-0.0047900461371933835,0.0486013206469972,0.3771783903675538,-0.057271020829639606,-0.21344349121091802,0.12513840614377583,0.4947361203005113,0.8441766720486175,0.5707821794213156,0.10036658333372656
